date,ticker,eps_surprise_pct,sue
2024-03-27,SBRY,-0.001,-0.001
2024-03-28,SBRY,0.079,0.079
2024-04-08,SBRY,0.052,0.052
2024-04-23,SBRY,-0.176,-0.176
2024-04-25,SBRY,0.147,0.147
2024-04-26,SBRY,0.391,0.391
2024-04-29,SBRY,0.136,0.136
2024-05-07,SBRY,0.183,0.183
2024-05-09,SBRY,0.186,0.186
2024-05-14,SBRY,0.317,0.317
2024-05-15,SBRY,0.024,0.024
2024-06-04,SBRY,0.123,0.123
2024-06-17,SBRY,0.221,0.221
2024-06-18,SBRY,0.09,0.09
2024-06-19,SBRY,0.106,0.106
2024-06-24,SBRY,0.089,0.089
2024-06-27,SBRY,0.447,0.447
2024-07-02,SBRY,0.466,0.466
2024-07-03,SBRY,0.427,0.427
2024-07-04,SBRY,0.425,0.425
2024-08-22,SBRY,0.513,0.513
2024-08-23,SBRY,0.517,0.517
2024-08-24,SBRY,-0.04,-0.04
2024-09-02,SBRY,-0.181,-0.181
2024-09-10,SBRY,0.198,0.198
2024-09-16,SBRY,0.513,0.513
2024-09-23,SBRY,0.803,0.803
2024-09-27,SBRY,0.673,0.673
2024-09-29,SBRY,0.97,0.97
2024-10-01,SBRY,-0.449,-0.449
2024-10-03,SBRY,-0.364,-0.364
2024-10-07,SBRY,-0.53,-0.53
2024-10-09,SBRY,-0.659,-0.659
2024-10-16,SBRY,-1.237,-1.237
2024-10-18,SBRY,-1.108,-1.108
2024-10-30,SBRY,-1.192,-1.192
2024-11-07,SBRY,-0.025,-0.025
2024-11-08,SBRY,0.225,0.225
2024-11-11,SBRY,0.136,0.136
2024-11-12,SBRY,0.451,0.451
2024-11-19,SBRY,0.477,0.477
2024-11-25,SBRY,0.474,0.474
2024-12-02,SBRY,0.491,0.491
2024-12-10,SBRY,0.481,0.481
2024-12-11,SBRY,0.309,0.309
2024-12-13,SBRY,0.156,0.156
2024-12-22,SBRY,-0.075,-0.075
2025-01-03,SBRY,-0.228,-0.228
2025-01-06,SBRY,-0.255,-0.255
2025-01-10,SBRY,0.807,0.807
2025-01-13,SBRY,1.651,1.651
2025-01-21,SBRY,1.403,1.403
2025-01-22,SBRY,1.445,1.445
2025-01-23,SBRY,1.461,1.461
2025-01-31,SBRY,1.4,1.4
2025-02-11,SBRY,0.628,0.628
2025-03-11,SBRY,0.54,0.54
2025-03-13,SBRY,0.492,0.492
2025-03-18,SBRY,0.562,0.562
2025-03-20,SBRY,0.609,0.609
2025-03-24,SBRY,0.592,0.592
