date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue
2025-01-16,CPI,208.7998962402344,217.49989318847656,204.80990600585935,210.5998992919922,143683,203.7898971557617,50.0,-13.530629409563716,47.32823775434215,-2.6883137655922145,,,
2025-01-17,CPI,211.7998962402344,217.49989318847656,207.2998962402344,217.49989318847656,215247,204.1198974609375,62.19511892548378,-12.852589190301485,56.25000248352627,42.31311682061576,,,
2025-01-20,CPI,204.2998962402344,215.39990234375,197.0998992919922,197.0998992919922,473185,203.8198974609375,31.70732161177432,-12.218110266392868,48.64865236396054,-52.93145941332797,,,
2025-01-21,CPI,208.7998962402344,209.99989318847656,200.0998992919922,207.2998962402344,174526,204.47989654541016,50.0,-11.544552735545787,48.29931996326819,-34.69650887377661,,,
2025-01-22,CPI,207.89990234375,217.1999053955078,205.1999053955078,209.99989318847656,308698,205.3198974609375,54.28575788225447,-10.86985699578988,51.07914774716953,48.29060605598034,,,
2025-01-23,CPI,209.6999053955078,217.49989318847656,205.7998962402344,207.89990234375,53884,206.48989868164065,62.857200985863095,-10.17632391405417,51.4285859607515,71.96672919785375,,,
2025-01-24,CPI,213.5998992919922,217.49989318847656,207.5998992919922,217.49989318847656,285538,207.77989807128907,81.42860049293155,-9.421924075956142,57.04698376048274,117.11048882251374,,,
2025-01-27,CPI,212.0998992919922,217.49989318847656,209.41490173339844,212.6999053955078,157772,208.94989776611328,74.2857433500744,-8.671378173358192,62.04378640668565,115.17632310468515,,,
2025-01-28,CPI,212.99989318847656,216.89990234375,210.89990234375,212.0998992919922,499626,209.9998977661133,78.57142857142857,-7.928469997423548,67.17557785401567,116.61153188467937,,,
2025-01-29,CPI,210.89990234375,223.0498962402344,209.99989318847656,217.1999053955078,375506,210.08989868164065,54.237316384489255,-7.244727015322678,66.16543366151856,121.74198032138877,,,
2025-01-30,CPI,212.39990234375,222.2998962402344,209.0998992919922,211.49989318847656,275787,210.44989929199215,58.95955626612977,-6.593466745192829,65.1162882391697,111.93034017923485,,,
2025-01-31,CPI,216.2998962402344,221.6999053955078,209.99989318847656,211.7998962402344,596974,210.8998992919922,73.98843624736058,-5.919456179870805,68.79433800957372,118.18088237399174,-0.00104285714285714,,
2025-02-03,CPI,215.0998992919922,218.99989318847656,210.2998962402344,216.2998962402344,173980,211.979899597168,69.36417000703845,-5.2721725302921,65.21741213657144,88.23040834090716,,,
2025-02-04,CPI,218.99989318847656,224.6999053955078,213.89990234375,214.49989318847656,587297,212.9998992919922,79.34778642565156,-4.601333999719757,61.90477536049939,139.04858381119948,,,
2025-02-05,CPI,221.39990234375,224.99989318847656,215.99989318847656,218.6999053955078,381838,214.3498992919922,87.09680418539378,-3.9021200750580256,66.15386661929918,147.7710789912618,,,
2025-02-06,CPI,225.5998992919922,231.61489868164065,219.5998992919922,223.1999053955078,594840,215.9398986816406,82.57279589739055,-3.1458727331424683,67.16419723329835,193.8644235944351,,,
2025-02-07,CPI,214.7998962402344,230.39990234375,214.7998962402344,223.1999053955078,194246,216.05989837646484,46.64444624127334,-2.5586593462090605,62.06897398427257,107.0706875120984,,,
2025-02-10,CPI,214.7998962402344,232.1999053955078,211.49989318847656,221.99989318847656,155119,216.32989807128905,35.555521647135414,-2.102344161380153,57.69231371155858,91.683991468222,,,
2025-02-11,CPI,208.7998962402344,224.6999053955078,206.99989318847656,215.99989318847656,588543,215.90989837646484,11.36363242283477,-1.8429290578467945,51.02040180808101,-9.50251689276465,,,
2025-02-12,CPI,205.7998962402344,224.99989318847656,204.5998992919922,211.49989318847656,595122,215.39989776611327,4.347814068379263,-1.7641889188255724,45.69535152330302,-45.02751410354289,,,
2025-02-13,CPI,206.39990234375,217.1999053955078,201.7198944091797,206.39990234375,336288,214.79989776611328,15.354351206334998,-1.789226345148823,41.42857194757805,-101.94925387210208,,,
2025-02-14,CPI,203.99989318847656,216.89990234375,202.1999053955078,206.0998992919922,201453,213.5698974609375,7.480308259467404,-1.912209771257969,40.55943210264721,-105.40948597834227,,,
