date,ticker,eps_surprise_pct,sue
2024-05-23,CRST,3.122,3.122
2024-05-24,CRST,2.504,2.504
2024-05-25,CRST,1.671,1.671
2024-06-02,CRST,1.4,1.4
2024-06-13,CRST,-12.951,-12.951
2024-06-14,CRST,-22.881,-22.881
2024-06-17,CRST,-6.794,-6.794
2024-06-18,CRST,-6.441,-6.441
2024-06-20,CRST,2.041,2.041
2024-06-21,CRST,1.622,1.622
2024-07-08,CRST,1.634,1.634
2024-07-24,CRST,2.225,2.225
2024-08-16,CRST,1.957,1.957
2024-08-27,CRST,2.153,2.153
2024-09-02,CRST,1.937,1.937
2024-09-23,CRST,2.292,2.292
2024-10-13,CRST,7.371,7.371
2024-10-16,CRST,7.633,7.633
2024-10-17,CRST,8.428,8.428
2024-10-23,CRST,8.441,8.441
2024-10-25,CRST,5.501,5.501
2024-10-29,CRST,4.784,4.784
2024-10-31,CRST,-6.187,-6.187
2024-11-01,CRST,-16.536,-16.536
2024-11-08,CRST,-16.433,-16.433
2024-11-12,CRST,-10.765,-10.765
2024-11-20,CRST,-8.602,-8.602
2024-11-21,CRST,-2.715,-2.715
2024-11-22,CRST,4.314,4.314
2024-11-23,CRST,4.387,4.387
2024-12-02,CRST,4.991,4.991
2025-01-14,CRST,4.979,4.979
2025-01-22,CRST,5.152,5.152
2025-02-03,CRST,4.816,4.816
2025-02-04,CRST,-3.51,-3.51
2025-02-05,CRST,-5.03,-5.03
2025-02-06,CRST,-5.02,-5.02
2025-02-10,CRST,-3.285,-3.285
2025-02-11,CRST,-3.612,-3.612
2025-02-14,CRST,-3.614,-3.614
2025-02-17,CRST,-3.616,-3.616
2025-03-10,CRST,-3.842,-3.842
2025-03-19,CRST,-3.678,-3.678
2025-03-21,CRST,-0.937,-0.937
2025-03-24,CRST,-0.231,-0.231
2025-03-25,CRST,-0.754,-0.754
2025-04-06,CRST,-0.78,-0.78
2025-04-30,CRST,-0.818,-0.818
2025-06-05,CRST,-0.901,-0.901
2025-06-07,CRST,-0.683,-0.683
2025-06-11,CRST,-0.321,-0.321
2025-06-12,CRST,-0.254,-0.254
2025-06-16,CRST,2.24,2.24
2025-06-19,CRST,2.208,2.208
2025-07-04,CRST,1.865,1.865
2025-07-11,CRST,0.8,0.8
2025-07-20,CRST,0.796,0.796
2025-07-24,CRST,1.611,1.611
2025-08-10,CRST,1.1,1.1
2025-09-01,CRST,1.544,1.544
2025-09-17,CRST,1.611,1.611
2025-10-15,CRST,-0.224,-0.224
2025-10-17,CRST,0.392,0.392
2025-10-18,CRST,-0.188,-0.188
2025-11-02,CRST,-0.77,-0.77
2025-11-10,CRST,5.382,5.382
2025-11-18,CRST,-5.39,-5.39
2025-11-19,CRST,-5.145,-5.145
2025-11-20,CRST,-2.907,-2.907
2025-12-22,CRST,-2.89,-2.89
2026-01-06,CRST,-1.48,-1.48
2026-01-29,CRST,-0.157,-0.157
2026-01-30,CRST,-0.014,-0.014
2026-02-02,CRST,0.27,0.27
2026-02-04,CRST,0.835,0.835
2026-03-15,CRST,0.184,0.184
2026-03-25,CRST,0.789,0.789
2026-04-08,CRST,0.996,0.996
2026-04-16,CRST,0.147,0.147
2026-04-21,CRST,-9.939,-9.939
2026-04-22,CRST,-154.638,-154.638
2026-04-25,CRST,-125.034,-125.034
2026-05-18,CRST,-60.475,-60.475
2026-06-15,CRST,1.235,1.235
2026-07-07,CRST,2.241,2.241
2026-07-16,CRST,-3.013,-3.013
2026-07-20,CRST,4.254,4.254
2026-07-21,CRST,-4.183,-4.183
2026-08-06,CRST,4.524,4.524
