date,title,url,domain,language,neg,neu,pos,compound,ticker
20230404T121500Z,"Crest Nicholson responds to concerns about roads , pavements , drains and the bus gate system at Bolnore Village in Haywards Heath",https://www.sussexexpress.co.uk/news/politics/crest-nicholson-responds-to-concerns-about-roads-pavements-drains-and-the-bus-gate-system-at-bolnore-village-in-haywards-heath-4091814,sussexexpress.co.uk,English,0.0,1.0,0.0,0.0,CRST
20230601T160000Z,"Crest Nicholson firm responsible for manager allegedly raping employee , court finds",https://www.telegraph.co.uk/news/2023/06/01/crest-nicholson-manager-alleged-rape-employee-court/,telegraph.co.uk,English,0.298,0.559,0.143,-0.5423,CRST
20230601T130000Z,Woman who claimed she was raped by her manager after Christmas work party wins sex harassment case,https://www.dailymail.co.uk/news/article-12148285/Woman-claimed-raped-manager-Christmas-work-party-wins-sex-harassment-case.html,dailymail.co.uk,English,0.295,0.473,0.233,-0.4019,CRST
20230528T103000Z,Slough manor and garden centre changes in plans submitted,https://www.sloughobserver.co.uk/news/23547325.slough-manor-garden-centre-changes-plans-submitted/,sloughobserver.co.uk,English,0.0,1.0,0.0,0.0,CRST
20230525T033000Z,Housebuilders slide as sticky inflation sparks fears of higher rates,https://www.proactiveinvestors.co.uk/companies/news/1015913/housebuilders-slide-as-sticky-inflation-sparks-fears-of-higher-rates-1015913.html,proactiveinvestors.co.uk,English,0.237,0.763,0.0,-0.4215,CRST
20230524T201500Z,"London close : Stocks fall on inflation data , debt ceiling standstill",https://www.sharecast.com/news/market-report-close/london-close-stocks-fall-on-inflation-data-debt-ceiling-standstill--13507298.html,sharecast.com,English,0.217,0.783,0.0,-0.3612,CRST
20230524T153000Z,London midday : FTSE extends losses after united kingdom inflation print,https://www.sharecast.com/news/market-report-midday/london-midday-ftse-extends-losses-after-uk-inflation-print--13501074.html,sharecast.com,English,0.193,0.5,0.307,0.1531,CRST
20230524T021500Z,Village near Taunton could soon get more than 300 new homes,https://www.somersetlive.co.uk/news/somerset-news/village-near-taunton-could-soon-8463962,somersetlive.co.uk,English,0.0,1.0,0.0,0.0,CRST
20230523T171500Z,What next for housebuilding shares as big names reveal updates ? ,https://www.thisismoney.co.uk/money/markets/article-12115357/What-housebuilding-shares-big-names-reveal-updates.html,thisismoney.co.uk,English,0.0,0.804,0.196,0.296,CRST
20230518T221500Z,Critical Contrast : Seagen ( NASDAQ : SGEN ) & Autolus Therapeutics ( NASDAQ : AUTL ) ,https://www.dailypolitical.com/2023/05/18/crest-nicholson-loncrst-shares-pass-above-200-day-moving-average-of-235-50.html,dailypolitical.com,English,0.223,0.777,0.0,-0.3182,CRST
20230516T124500Z,Crest Nicholson plans for 300 homes at Norton Rise | Somerset County Gazette,https://www.somersetcountygazette.co.uk/news/23525101.crest-nicholsons-plans-300-homes-norton-rise/,somersetcountygazette.co.uk,English,0.0,1.0,0.0,0.0,CRST
20230515T130000Z,Essex Police Special Constables have busy Saturday night in Southend,https://www.echo-news.co.uk/news/23522381.essex-police-special-constables-busy-saturday-night-southend/,echo-news.co.uk,English,0.0,0.769,0.231,0.4019,CRST
20230514T133000Z,Bracknell stories you may have missed last week,https://www.bracknellnews.co.uk/news/23520923.bracknell-stories-may-missed-last-week/,bracknellnews.co.uk,English,0.239,0.761,0.0,-0.296,CRST
20230513T130000Z,FTSE 250 movers : Homebuilders pace gains,https://www.sharecast.com/news/risers-and-fallers/ftse-250-movers-homebuilders-pace-gains--13378342.html,sharecast.com,English,0.0,0.676,0.324,0.34,CRST
