date,ticker,eps_surprise_pct,sue
2023-11-28,RR,1.943,1.943
2023-11-29,RR,1.885,1.885
2023-11-30,RR,-0.031,-0.031
2023-12-01,RR,0.44,0.44
2023-12-04,RR,1.949,1.949
2023-12-05,RR,1.746,1.746
2023-12-08,RR,2.298,2.298
2023-12-11,RR,1.836,1.836
2023-12-13,RR,0.972,0.972
2023-12-19,RR,1.036,1.036
2024-01-08,RR,1.531,1.531
2024-01-10,RR,1.716,1.716
2024-01-16,RR,1.811,1.811
2024-01-19,RR,1.578,1.578
2024-01-29,RR,1.755,1.755
2024-01-30,RR,1.931,1.931
2024-02-22,RR,-1.833,-1.833
2024-02-23,RR,0.895,0.895
2024-02-26,RR,11.749,11.749
2024-02-28,RR,9.316,9.316
2024-02-29,RR,6.892,6.892
2024-03-04,RR,3.438,3.438
2024-03-11,RR,3.148,3.148
2024-03-19,RR,3.049,3.049
2024-03-20,RR,2.948,2.948
2024-03-21,RR,3.622,3.622
2024-03-22,RR,3.236,3.236
2024-03-23,RR,3.62,3.62
2024-03-26,RR,2.755,2.755
2024-04-07,RR,1.794,1.794
2024-04-19,RR,2.059,2.059
2024-05-03,RR,4.95,4.95
2024-05-28,RR,5.532,5.532
2024-05-29,RR,5.491,5.491
2024-06-10,RR,5.174,5.174
2024-06-14,RR,2.453,2.453
2024-06-20,RR,7.326,7.326
2024-06-21,RR,7.369,7.369
2024-06-24,RR,7.458,7.458
2024-06-25,RR,5.941,5.941
2024-06-26,RR,10.078,10.078
2024-06-28,RR,10.117,10.117
2024-07-02,RR,9.07,9.07
2024-07-04,RR,7.465,7.465
2024-07-15,RR,6.237,6.237
2024-07-19,RR,5.931,5.931
2024-08-01,RR,5.509,5.509
2024-08-02,RR,8.004,8.004
2024-08-05,RR,9.202,9.202
2024-08-06,RR,12.73,12.73
2024-08-07,RR,11.821,11.821
2024-08-09,RR,14.882,14.882
2024-08-12,RR,13.363,13.363
2024-08-22,RR,11.804,11.804
2024-08-28,RR,10.297,10.297
2024-08-30,RR,8.837,8.837
2024-09-02,RR,9.255,9.255
2024-09-15,RR,6.634,6.634
2024-10-03,RR,7.983,7.983
2024-10-15,RR,8.046,8.046
2024-10-17,RR,8.078,8.078
2024-10-23,RR,7.399,7.399
2024-10-30,RR,6.889,6.889
2024-11-04,RR,6.859,6.859
2024-11-29,RR,7.326,7.326
2024-12-01,RR,6.718,6.718
2024-12-04,RR,6.558,6.558
2024-12-08,RR,3.937,3.937
2024-12-11,RR,4.326,4.326
2024-12-12,RR,4.376,4.376
2024-12-17,RR,1.261,1.261
2024-12-21,RR,0.83,0.83
2024-12-27,RR,0.829,0.829
2025-01-01,RR,-0.836,-0.836
2025-01-06,RR,-1.426,-1.426
2025-01-13,RR,-0.521,-0.521
2025-01-16,RR,-1.156,-1.156
2025-01-22,RR,0.898,0.898
2025-01-27,RR,2.503,2.503
2025-01-29,RR,1.467,1.467
2025-01-31,RR,2.524,2.524
2025-02-02,RR,2.613,2.613
2025-02-05,RR,2.691,2.691
2025-02-21,RR,3.036,3.036
2025-02-27,RR,2.608,2.608
2025-02-28,RR,3.126,3.126
2025-03-03,RR,6.006,6.006
2025-03-07,RR,4.818,4.818
2025-03-11,RR,3.56,3.56
2025-03-20,RR,3.648,3.648
2025-03-21,RR,4.285,4.285
2025-04-09,RR,4.046,4.046
2025-04-13,RR,2.109,2.109
2025-04-15,RR,2.178,2.178
2025-04-17,RR,1.069,1.069
2025-05-01,RR,1.289,1.289
2025-05-02,RR,1.51,1.51
2025-05-15,RR,1.632,1.632
2025-05-23,RR,2.673,2.673
2025-05-24,RR,2.291,2.291
2025-05-28,RR,2.186,2.186
2025-06-10,RR,2.386,2.386
2025-06-23,RR,2.52,2.52
2025-06-26,RR,2.506,2.506
2025-06-30,RR,2.491,2.491
2025-07-01,RR,2.497,2.497
2025-07-03,RR,1.988,1.988
2025-07-06,RR,1.615,1.615
2025-07-09,RR,1.54,1.54
2025-07-29,RR,1.624,1.624
2025-07-31,RR,1.365,1.365
2025-08-01,RR,4.792,4.792
2025-08-04,RR,12.098,12.098
2025-08-06,RR,11.507,11.507
2025-08-07,RR,9.982,9.982
2025-08-11,RR,7.405,7.405
2025-08-14,RR,6.351,6.351
2025-08-26,RR,5.535,5.535
