date,title,url,domain,language,neg,neu,pos,compound,ticker
20200219T213000Z,Montgomery County crime report,https://www.washingtonpost.com/local/montgomery-county-crime-report/2020/02/18/32cc222e-4dc2-11ea-967b-e074d302c7d4_story.html,washingtonpost.com,English,0.538,0.462,0,-0.5423,CRST
20200219T230000Z,MARKET REPORT : Housebuilders hit record highs as HSBC tips sector,https://www.dailymail.co.uk/money/markets/article-8021777/MARKET-REPORT-Housebuilders-hit-record-highs-HSBC-tips-sector.html,dailymail.co.uk,English,0,1,0,0,CRST
20200220T000000Z,MARKET REPORT : Housebuilders hit record highs as HSBC tips sector,https://www.thisismoney.co.uk/money/markets/article-8021777/MARKET-REPORT-Housebuilders-hit-record-highs-HSBC-tips-sector.html,thisismoney.co.uk,English,0,1,0,0,CRST
20200224T103000Z,Tiptree residents still in a pickle with jam factory and developers over low water pressure,https://www.maldonandburnhamstandard.co.uk/news/18253088.tiptree-residents-still-pickle-jam-factory-developers-low-water-pressure/,maldonandburnhamstandard.co.uk,English,0.264,0.736,0,-0.5106,CRST
20200225T123000Z,London midday : Stocks turn red as coronavirus concerns grow,https://www.lse.co.uk/news/london-midday-stocks-turn-red-as-coronavirus-concerns-grow-tbw89z1wtsd39rb.html,lse.co.uk,English,0,1,0,0,CRST
20200225T183000Z,Investegate |Crest Nicholson Hdgs Announcements | Crest Nicholson Hdgs : Director / PDMR Shareholding,https://www.investegate.co.uk/crest-nicholson-hdgs--crst-/rns/director-pdmr-shareholding/202002251656191076E/,investegate.co.uk,English,0,1,0,0,CRST
20200226T163000Z,Investegate |Independent Inv Tst Announcements | Independent Inv Tst : Annual Financial Report,https://www.investegate.co.uk/independent-inv-tst--iit-/rns/annual-financial-report/202002261610502483E/,investegate.co.uk,English,0,1,0,0,CRST
20200228T073000Z,Investegate |Man Group plc Announcements | Man Group plc : Directorate Change,https://www.investegate.co.uk/man-group-plc--emg-/rns/directorate-change/202002280705014227E/,investegate.co.uk,English,0,1,0,0,CRST
20200228T081500Z,Man Group appoint Lucinda Bell and Ceci Kurzman as Non - Executive Directors,https://www.directorstalkinterviews.com/man-group-appoint-lucinda-bell-and-ceci-kurzman-as-non-executive-directors/412806860,directorstalkinterviews.com,English,0,1,0,0,CRST
20200501T033000Z,Coronavirus crisis : Panic borrowing calms as firms repay credit lines,https://www.independent.ie/business/world/panic-borrowing-calms-as-firms-repay-credit-lines-39172345.html,independent.ie,English,0.404,0.328,0.268,-0.5423,CRST
20200504T233000Z,29 Oregon - filmed movies and TV shows to watch when youre home because of coronavirus,https://www.oregonlive.com/entertainment/2020/05/29-oregon-filmed-movies-and-tv-shows-to-watch-when-youre-home-because-of-coronavirus.html,oregonlive.com,English,0,1,0,0,CRST
