date,ticker,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2022-04-29,CRST,,0.645,519959,256920539,0.0020238125064808462,253.2,0.24771321047613695
2022-05-03,CRST,,0.645,487279,256920539,0.0018966136452017953,255.0,0.23487229923061595
2022-05-04,CRST,,0.645,448392,256920539,0.0017452555632385622,252.4,0.23618061316345165
2022-05-05,CRST,,0.645,1576815,256920539,0.006137364517984294,251.6,0.20827188222568738
2022-05-06,CRST,0.657,0.657,,,,,0.18893100024444226
2022-05-06,CRST,0.657,0.657,1741325,256920539,0.006777679226338537,239.4,0.2327111144557871
2022-05-09,CRST,,0.657,1267522,256920539,0.004933517596271274,233.0,0.2416745446761501
2022-05-10,CRST,,0.657,826270,256920539,0.003216052726714854,237.2,0.25858222308708095
2022-05-11,CRST,,0.657,1041470,256920539,0.004053665791196242,240.2,0.2660078098597728
2022-05-12,CRST,,0.657,502359,256920539,0.001955308835779766,244.2,0.2766045449460571
2022-05-13,CRST,,0.657,234222,256920539,0.0009116515203947941,244.0,0.2762006379398295
2022-05-16,CRST,,0.657,167441,256920539,0.0006517229048783835,241.0,0.2762964044025631
2022-05-17,CRST,,0.657,318986,256920539,0.0012415745399008368,242.6,0.26992146044655035
2022-05-18,CRST,,0.657,841142,256920539,0.0032739383284572667,244.4,0.2728417059853018
2022-05-19,CRST,,0.657,294131,256920539,0.0011448325663056468,239.4,0.2767426822663258
2022-05-20,CRST,0.304,0.304,540545,256920539,0.002103938447677007,243.2,0.27439872065920434
2022-05-22,CRST,0.564,0.564,,,,,0.27439872065920434
2022-05-23,CRST,,0.564,1253059,256920539,0.004877223926421858,248.6,0.28797644436663433
2022-05-24,CRST,,0.564,206877,256920539,0.0008052178342970081,245.2,0.2763873000055385
2022-05-25,CRST,0.497,0.497,124561,256920539,0.0004848230526248429,245.6,0.2761505603327619
2022-05-25,CRST,0.497,0.497,,,,,0.2715245482504616
2022-05-26,CRST,,0.497,709213,256920539,0.0027604371482343806,251.0,0.2826050156046349
2022-05-27,CRST,,0.497,222285,256920539,0.00086518968419259,256.2,0.28994593332357865
2022-05-30,CRST,,0.497,468867,256920539,0.0018249494642388244,261.4,0.2974373347734431
2022-05-31,CRST,,0.497,638933,256920539,0.0024868895359121132,261.0,0.29762887214733025
2022-06-01,CRST,,0.497,251983,256920539,0.0009807818439926284,262.4,0.23020138723789382
2022-06-06,CRST,,0.497,311287,256920539,0.0012116080762231314,268.8,0.2080876961491226
2022-06-07,CRST,,0.497,272197,256920539,0.0010594598666944257,269.6,0.20458212711876453
2022-06-08,CRST,,0.497,286758,256920539,0.001116134977437518,267.8,0.20834641297665243
2022-06-09,CRST,,0.497,288650,256920539,0.0011234991220378842,270.4,0.20486057524263104
2022-06-10,CRST,,0.497,277179,256920539,0.001078851076207652,262.4,0.23870103040635457
2022-06-13,CRST,,0.497,335390,256920539,0.001305423074797457,255.0,0.25871922510703754
2022-06-14,CRST,1.22,1.22,1423773,256920539,0.005541686178698232,283.6,0.46641060731995576
2022-06-15,CRST,1.667,1.667,2027009,256920539,0.007889633922961683,280.4,0.47153830053019585
2022-06-16,CRST,2.364,2.364,1063461,256920539,0.004139260349286438,262.0,0.5303728865397559
2022-06-17,CRST,2.163,2.163,,,,,0.5290626347947417
2022-06-17,CRST,2.163,2.163,1250692,256920539,0.004868010961163366,255.2,0.5397369558573428
2022-06-20,CRST,,2.163,1815369,256920539,0.007065877282781195,253.6,0.5357100137523259
2022-06-21,CRST,,2.163,2107144,256920539,0.008201539698622537,249.2,0.5372487815501849
2022-06-22,CRST,1.479,1.479,609177,256920539,0.0023710716253790825,244.6,0.5418168476279956
2022-06-22,CRST,1.479,1.479,,,,,0.5418168476279956
2022-06-23,CRST,,1.479,428789,256920539,0.0016689557077412172,244.2,0.5357499372498113
2022-06-24,CRST,,1.479,467331,256920539,0.0018189709620685484,252.0,0.543171977803365
2022-06-27,CRST,,1.479,698657,256920539,0.0027193505148298013,254.2,0.5388934867381442
2022-06-28,CRST,,1.479,264527,256920539,0.0010296062783832164,256.8,0.5403154255176651
2022-06-29,CRST,,1.479,216960,256920539,0.0008444634315514962,253.0,0.5422597243852445
2022-06-30,CRST,,1.479,725777,256920539,0.0028249084437737383,243.4,0.5482244962106018
2022-07-01,CRST,1.464,1.464,,,,,0.5477948782044946
2022-07-01,CRST,1.464,1.464,521374,256920539,0.0020293200459150524,247.0,0.5519738694955212
2022-07-04,CRST,,1.464,125948,256920539,0.00049022160894657,245.6,0.5497962497269275
2022-07-05,CRST,1.235,1.235,,,,,0.5416810173999687
2022-07-05,CRST,1.235,1.235,478998,256920539,0.0018643818896861336,240.2,0.5382492620499142
2022-07-06,CRST,,1.235,479473,256920539,0.0018662307103442593,238.6,0.32612543672026423
2022-07-07,CRST,,1.235,1066841,256920539,0.00415241616786426,238.0,0.32658113972872155
2022-07-08,CRST,,1.235,433107,256920539,0.0016857624605870845,236.8,0.24542975903191858
2022-07-11,CRST,,1.235,3622790,256920539,0.014100818930634425,239.4,0.2513772645280045
2022-07-12,CRST,,1.235,2662980,256920539,0.010364994602475126,244.0,0.2510952147147727
2022-07-13,CRST,,1.235,183847,256920539,0.0007155792242830379,242.2,0.25136844652959506
2022-07-14,CRST,,1.235,479094,256920539,0.001864755546071776,238.6,0.24952611672831343
2022-07-15,CRST,,1.235,461239,256920539,0.0017952593505963337,248.4,0.2846243171510462
2022-07-18,CRST,,1.235,213831,256920539,0.0008322845687319689,254.2,0.29548029052583413
2022-07-19,CRST,,1.235,786829,256920539,0.003062538336026144,257.4,0.29740868005419047
2022-07-20,CRST,,1.235,170027,256920539,0.0006617882737666216,257.6,0.2767683204185418
2022-07-21,CRST,,1.235,347670,256920539,0.0013532199541275288,265.2,0.29353538230845083
2022-07-22,CRST,,1.235,184280,256920539,0.0007172645702724452,266.0,0.2920587471529095
2022-07-25,CRST,0.669,0.669,296090,256920539,0.001152457491925159,269.0,0.28688140915156674
2022-07-25,CRST,0.669,0.669,,,,,0.24290569509155543
2022-07-26,CRST,,0.669,492438,256920539,0.0019166937836760493,264.6,0.2541594337554715
2022-07-27,CRST,,0.669,301859,256920539,0.0011749119053498483,268.6,0.2543407717035001
2022-07-28,CRST,,0.669,2139268,256920539,0.008326574466668077,273.2,0.2553345734684477
2022-07-29,CRST,,0.669,380893,256920539,0.0014825323093378689,275.6,0.2547460339254626
2022-08-01,CRST,,0.669,139032,256920539,0.0005411478605063957,280.4,0.235181162152463
2022-08-02,CRST,,0.669,294970,256920539,0.0011480981674259995,266.6,0.30745807773450134
2022-08-03,CRST,,0.669,1249383,256920539,0.004862916000654973,275.8,0.3220125276142962
2022-08-04,CRST,,0.669,160893,256920539,0.0006262364255743679,277.6,0.3185918211981852
2022-08-05,CRST,0.052,0.052,,,,,0.3245873731935366
2022-08-05,CRST,0.052,0.052,172193,256920539,0.000670218895967675,274.0,0.32702223080708775
2022-08-08,CRST,,0.052,181596,256920539,0.0007068177604905305,275.2,0.320815090477325
2022-08-09,CRST,,0.052,212378,256920539,0.0008266291236451127,273.0,0.31560314479681895
2022-08-10,CRST,,0.052,299135,256920539,0.0011643094054072493,281.2,0.30190916095828285
2022-08-11,CRST,,0.052,172310,256920539,0.0006706742896876765,277.8,0.30171989194383225
2022-08-12,CRST,,0.052,134897,256920539,0.000525053390145659,277.8,0.30061815849428486
2022-08-15,CRST,,0.052,181152,256920539,0.000705089599706935,276.8,0.3016387249091158
2022-08-16,CRST,,0.052,150294,256920539,0.0005849824252470528,276.2,0.28637115202252356
2022-08-17,CRST,,0.052,190219,256920539,0.0007403806668800426,266.6,0.31489472556383624
2022-08-18,CRST,,0.052,122000,256920539,0.0004748549900870323,268.2,0.313006464613528
2022-08-19,CRST,-0.027,-0.027,,,,,0.313006464613528
2022-08-19,CRST,-0.027,-0.027,133966,256920539,0.0005214297016557326,263.0,0.3152891432419607
