date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2023-08-18,LLOY,42.244998931884766,42.619998931884766,41.95500183105469,42.25,139696325,42.66499977111816,9.764220677218532,-0.4849636493279301,19.84301576684838,-82.66199335780638,,,0.79,116026638.0,63794867220.0,0.0018187456617767,42.245,0.1267239517196733
2023-08-21,LLOY,42.09000015258789,42.71200180053711,42.06999969482422,42.06999969482422,114254017,42.55699996948242,6.352862189797794,-0.5156834203201267,22.01490200395135,-78.74722972293269,,,0.79,104569856.0,63734998359.0,0.0016406975553837,42.09,0.1181323782884128
2023-08-22,LLOY,41.72499847412109,42.400001525878906,41.72499847412109,42.34000015258789,283173044,42.46099967956543,0.0,-0.5471536090591858,26.777587331267284,-101.672528383014,,,0.79,158282451.0,63673881888.0,0.0024858300814518,41.725,0.1191608361005253
2023-08-23,LLOY,41.869998931884766,42.25,41.76300048828125,41.90499877929688,137362304,42.369999694824216,8.215308471206113,-0.5738839544386641,33.065794082133,-98.63318884486792,,,0.79,113402781.0,63612238721.0,0.0017827195407691,41.87,0.1204283648855427
2023-08-24,LLOY,42.130001068115234,42.6349983215332,42.03499984741211,42.334999084472656,88778714,42.28299980163574,22.946280947080627,-0.5907860291043779,34.01901312811228,-71.08905907806093,,,0.79,85476950.0,63621527774.0,0.001343522436362,42.13,0.1248990153077963
2023-08-25,LLOY,41.79499816894531,42.505001068115234,41.73500061035156,42.11000061035156,89999773,42.16749954223633,4.105549539551991,-0.6046401541438533,30.15875287615735,-93.4583208087287,,,0.79,69693094.0,63602384851.0,0.0010957622762616,41.795,0.1259234256146512
2023-08-29,LLOY,42.90499877929688,42.959999084472656,42.16999816894531,42.16999816894531,192034758,42.17399940490723,69.20815471769033,-0.5967701186141484,52.68944972397127,-3.191612996893869,,,0.79,177660048.0,63602384851.0,0.0027932922392171,42.905,0.1600655688415075
2023-08-30,LLOY,42.82500076293945,43.57500076293945,42.80500030517578,43.095001220703125,110852442,42.20899963378906,59.45950961611821,-0.5756125221876824,50.55217044125893,76.81932399447807,,,0.79,103738719.0,63602384851.0,0.0016310507733794,42.825,0.1357010293739348
2023-08-31,LLOY,42.35499954223633,43.220001220703125,42.35499954223633,42.959999084472656,321802013,42.23549957275391,34.054069658347885,-0.5534223137815782,42.54336177813059,11.14888996941242,,0.946,0.946,,,,,0.1368805392096136
2023-09-01,LLOY,42.1150016784668,42.58000183105469,42.06999969482422,42.400001525878906,313465005,42.20549964904785,21.081228207280084,-0.5343157959317014,40.75306991826506,-58.03585033941683,,,0.946,304424902.0,63540750749.0,0.0047910183372328,42.115,0.137767616045872
2023-09-04,LLOY,41.97499847412109,42.57500076293945,41.79800033569336,42.31999969482422,64586808,42.17849960327148,13.513496794627263,-0.51915952639635,40.48405006685148,-75.8890310083315,,,0.946,52762315.0,63540750749.0,0.0008303697135783,41.975,0.132901902585456
2023-09-05,LLOY,41.7599983215332,42.2599983215332,41.46500015258789,41.685001373291016,66880505,42.14549942016602,13.98095182996941,-0.5095206449579246,41.86576977324509,-119.42228717297009,,,0.946,52595442.0,63540750749.0,0.0008277434776898,41.76,0.1337313393614401
2023-09-06,LLOY,41.494998931884766,41.70000076293945,41.22999954223633,41.459999084472656,102192028,42.12249946594238,11.300607748467614,-0.5069118514564103,43.04093629870756,-164.5679830000405,,0.912,0.912,83665332.0,63540750749.0,0.0013167192866589,41.495,0.1322530368812159
2023-09-07,LLOY,41.02999877929688,41.66699981689453,41.02999877929688,41.20000076293945,75967110,42.0384994506836,0.0,-0.515109589350553,34.31484195173877,-187.43587914732277,,,0.912,62189352.0,63540750749.0,0.000978731778692,41.03,0.1364043673351606
2023-09-08,LLOY,41.34000015258789,41.415000915527344,40.70500183105469,41.060001373291016,147483289,41.95949935913086,22.12538529121304,-0.5235309829936468,40.06589239473799,-178.07709855316008,,,0.912,126520093.0,63540750749.0,0.0019911645913625,41.34,0.1407551497104174
2023-09-11,LLOY,41.58000183105469,41.97499847412109,41.277000427246094,41.59999847412109,156914685,41.9379997253418,30.4878162245648,-0.5266287767390979,44.504341263336,-90.26217304172354,,,0.912,149124615.0,63540750749.0,0.0023469130163267,41.58,0.1407929770081681
2023-09-12,LLOY,42.47999954223633,42.4900016784668,41.665000915527344,41.95000076293945,165061570,41.895499801635744,61.84663316289029,-0.510668218386527,57.29468663132825,19.50979505827016,,0.396,0.396,,,,,0.1563073467755341
2023-09-13,LLOY,42.59999847412109,42.88999938964844,42.47499847412109,42.7400016784668,111797115,41.87299957275391,66.02778217140093,-0.4805205039623271,57.08736684683376,99.31973418920188,,,0.396,97364654.0,63540750749.0,0.0015323182816113,42.6,0.1557936109931608
2023-09-14,LLOY,43.22999954223633,43.35499954223633,42.3849983215332,42.630001068115234,174804740,41.9604995727539,87.97904706966013,-0.4319144454498987,59.96374658266968,139.26182479163757,,,0.396,153609649.0,63540750749.0,0.0024174981754117,43.23,0.1629134571263923
2023-09-15,LLOY,43.20000076293945,43.69499969482422,43.06999969482422,43.525001525878906,410881995,42.068999481201175,83.4448399484569,-0.3737812569799804,63.470781906851165,167.919958065652,,,0.396,375535369.0,63540750749.0,0.0059101500151209,43.2,0.1587894522161292
2023-09-18,LLOY,42.15499877929688,43.220001220703125,42.095001220703125,43.165000915527344,95176139,42.08699951171875,48.4949158597109,-0.3285445590514093,42.71844875937193,40.88456595839848,,,0.396,75162954.0,63540750749.0,0.0011829094417991,42.155,0.183351200432804
2023-09-19,LLOY,42.900001525878906,42.900001525878906,41.630001068115234,41.96500015258789,192122023,42.20099983215332,73.41141348030773,-0.2811276107891691,50.64488978718408,36.8218373851335,,1.008,1.008,,,,,0.1896125522218452
2023-09-20,LLOY,44.560001373291016,44.70000076293945,42.959999084472656,43.0,301530724,42.50750007629394,96.49563386535404,-0.2077047238958136,65.73876012895356,213.341131954669,,,1.008,258501107.0,63540750749.0,0.0040682727848327,44.56,0.2142819797974756
2023-09-21,LLOY,44.42499923706055,45.595001220703125,44.130001068115234,44.16999816894531,228768917,42.84700012207031,76.07357608020695,-0.1235112466997972,66.73909053315023,232.0456584729795,,,1.008,209862901.0,63540750749.0,0.0033028080173148,44.425,0.2145988850048195
2023-09-22,LLOY,45.34000015258789,46.05500030517578,44.24300003051758,44.34000015258789,341794656,43.24700012207031,86.63550735488103,-0.0221007210408416,71.92181542647283,220.74190548045183,,0.961,0.961,,,,,0.218657770525805
2023-09-25,LLOY,44.75,45.47499847412109,44.435001373291016,45.0,157412846,43.56399993896484,75.60746397427395,0.0754222738832478,68.57142315571392,158.18882446097518,,,0.961,103702800.0,63540750749.0,0.0016320675909173,44.75,0.2242266113335968
2023-09-26,LLOY,44.92499923706055,44.92499923706055,44.435001373291016,44.775001525878906,115017094,43.80849990844727,78.87847868403603,0.1680164313149118,71.54520987526526,124.8728037746694,,,0.961,94932212.0,63540750749.0,0.001494036675377,44.925,0.2229301943236127
2023-09-27,LLOY,44.56999969482422,45.29999923706055,44.27999877929688,44.84000015258789,146505711,44.00550003051758,72.242971329155,0.2466205963629529,72.54775900073476,106.1693291697896,,,0.961,133050389.0,63540750749.0,0.0020939379442584,44.57,0.2245677355593902
