date,ticker,eps_surprise_pct,sue
2024-01-17,LLOY,0.622,0.622
2024-01-22,LLOY,0.629,0.629
2024-01-23,LLOY,1.084,1.084
2024-01-25,LLOY,1.086,1.086
2024-01-29,LLOY,1.024,1.024
2024-02-01,LLOY,1.338,1.338
2024-02-02,LLOY,1.352,1.352
2024-02-12,LLOY,1.622,1.622
2024-02-22,LLOY,-1.584,-1.584
2024-02-23,LLOY,2.644,2.644
2024-02-25,LLOY,2.949,2.949
2024-02-27,LLOY,2.118,2.118
2024-02-29,LLOY,3.65,3.65
2024-03-01,LLOY,2.203,2.203
2024-03-06,LLOY,1.884,1.884
2024-03-20,LLOY,0.943,0.943
2024-03-21,LLOY,0.435,0.435
2024-03-26,LLOY,0.46,0.46
2024-04-08,LLOY,1.418,1.418
2024-04-09,LLOY,1.515,1.515
2024-04-10,LLOY,1.57,1.57
2024-04-12,LLOY,1.364,1.364
2024-04-13,LLOY,2.026,2.026
2024-04-17,LLOY,2.776,2.776
2024-04-19,LLOY,2.74,2.74
2024-04-22,LLOY,-0.755,-0.755
2024-04-24,LLOY,-1.737,-1.737
2024-04-25,LLOY,-2.021,-2.021
2024-04-26,LLOY,-2.726,-2.726
2024-04-30,LLOY,-1.576,-1.576
2024-05-01,LLOY,-1.378,-1.378
2024-05-07,LLOY,0.173,0.173
2024-05-08,LLOY,0.172,0.172
2024-05-09,LLOY,-0.292,-0.292
2024-05-14,LLOY,-0.283,-0.283
2024-05-24,LLOY,-0.263,-0.263
2024-05-31,LLOY,-1.181,-1.181
2024-06-04,LLOY,-1.045,-1.045
2024-06-21,LLOY,0.077,0.077
2024-06-28,LLOY,-0.27,-0.27
2024-07-02,LLOY,0.019,0.019
2024-07-03,LLOY,-0.631,-0.631
2024-07-05,LLOY,-0.903,-0.903
2024-07-08,LLOY,-0.859,-0.859
2024-07-16,LLOY,-0.588,-0.588
2024-07-25,LLOY,-0.434,-0.434
2024-07-26,LLOY,-0.947,-0.947
2024-07-29,LLOY,-2.305,-2.305
2024-07-30,LLOY,-1.825,-1.825
2024-08-02,LLOY,-1.644,-1.644
2024-08-05,LLOY,-0.092,-0.092
2024-08-19,LLOY,0.319,0.319
2024-09-05,LLOY,1.505,1.505
2024-09-09,LLOY,1.035,1.035
2024-09-17,LLOY,0.586,0.586
2024-10-04,LLOY,0.934,0.934
2024-10-07,LLOY,1.418,1.418
2024-10-14,LLOY,1.583,1.583
2024-10-15,LLOY,2.563,2.563
2024-10-16,LLOY,2.676,2.676
2024-10-22,LLOY,2.723,2.723
2024-10-23,LLOY,2.444,2.444
2024-10-24,LLOY,2.77,2.77
2024-10-25,LLOY,2.705,2.705
2024-10-28,LLOY,1.847,1.847
2024-10-29,LLOY,1.884,1.884
2024-10-30,LLOY,1.411,1.411
2024-10-31,LLOY,1.205,1.205
2024-11-06,LLOY,2.458,2.458
2024-11-07,LLOY,1.995,1.995
2024-11-11,LLOY,2.861,2.861
2024-11-12,LLOY,2.368,2.368
2024-11-13,LLOY,4.878,4.878
2024-11-26,LLOY,4.242,4.242
2024-12-06,LLOY,4.242,4.242
2024-12-11,LLOY,4.929,4.929
2024-12-13,LLOY,3.634,3.634
2024-12-23,LLOY,3.042,3.042
2025-01-08,LLOY,2.705,2.705
2025-01-14,LLOY,2.994,2.994
2025-01-16,LLOY,3.073,3.073
2025-02-04,LLOY,3.07,3.07
2025-02-10,LLOY,2.598,2.598
2025-02-20,LLOY,-1.226,-1.226
2025-02-21,LLOY,-0.26,-0.26
2025-02-22,LLOY,1.609,1.609
2025-02-25,LLOY,3.679,3.679
2025-02-26,LLOY,1.111,1.111
2025-02-27,LLOY,1.113,1.113
2025-03-04,LLOY,1.426,1.426
2025-03-05,LLOY,0.472,0.472
2025-03-06,LLOY,1.799,1.799
2025-03-11,LLOY,0.776,0.776
2025-03-12,LLOY,0.755,0.755
2025-03-19,LLOY,-0.032,-0.032
2025-03-24,LLOY,1.445,1.445
2025-03-25,LLOY,1.492,1.492
2025-03-27,LLOY,1.668,1.668
2025-03-28,LLOY,1.748,1.748
2025-03-31,LLOY,2.407,2.407
2025-04-04,LLOY,2.368,2.368
2025-04-05,LLOY,2.198,2.198
2025-04-10,LLOY,2.04,2.04
2025-04-14,LLOY,2.208,2.208
2025-04-25,LLOY,2.088,2.088
2025-04-30,LLOY,1.751,1.751
2025-05-01,LLOY,1.429,1.429
2025-05-02,LLOY,1.504,1.504
2025-05-07,LLOY,0.875,0.875
2025-05-08,LLOY,0.873,0.873
2025-05-22,LLOY,0.537,0.537
2025-05-28,LLOY,0.182,0.182
2025-06-04,LLOY,0.479,0.479
2025-06-17,LLOY,0.535,0.535
2025-06-20,LLOY,0.725,0.725
2025-07-03,LLOY,0.535,0.535
2025-07-04,LLOY,0.417,0.417
2025-07-10,LLOY,0.795,0.795
2025-07-11,LLOY,0.876,0.876
2025-07-18,LLOY,1.155,1.155
2025-07-24,LLOY,1.532,1.532
2025-07-25,LLOY,1.538,1.538
2025-07-28,LLOY,1.527,1.527
2025-07-29,LLOY,2.852,2.852
2025-07-31,LLOY,1.836,1.836
2025-08-01,LLOY,3.337,3.337
2025-08-04,LLOY,2.861,2.861
2025-08-05,LLOY,1.688,1.688
2025-08-26,LLOY,1.792,1.792
2025-09-22,LLOY,2.128,2.128
2025-10-01,LLOY,2.32,2.32
2025-10-03,LLOY,2.339,2.339
2025-10-07,LLOY,2.591,2.591
2025-10-08,LLOY,2.761,2.761
2025-10-09,LLOY,3.092,3.092
2025-10-13,LLOY,3.348,3.348
2025-10-15,LLOY,3.381,3.381
2025-10-20,LLOY,3.639,3.639
2025-10-23,LLOY,3.141,3.141
2025-10-24,LLOY,2.732,2.732
2025-10-27,LLOY,3.234,3.234
2025-10-28,LLOY,3.248,3.248
2025-10-30,LLOY,2.934,2.934
2025-10-31,LLOY,4.284,4.284
2025-11-04,LLOY,4.315,4.315
2025-11-05,LLOY,3.259,3.259
2025-12-07,LLOY,-0.079,-0.079
2026-01-06,LLOY,-0.094,-0.094
2026-01-08,LLOY,0.852,0.852
2026-01-09,LLOY,0.493,0.493
2026-01-13,LLOY,0.107,0.107
2026-01-16,LLOY,0.068,0.068
2026-01-20,LLOY,0.465,0.465
2026-01-23,LLOY,0.258,0.258
2026-01-26,LLOY,0.078,0.078
2026-01-27,LLOY,0.526,0.526
2026-01-29,LLOY,0.664,0.664
2026-01-30,LLOY,1.174,1.174
2026-02-02,LLOY,1.362,1.362
2026-02-03,LLOY,1.634,1.634
2026-02-04,LLOY,1.003,1.003
2026-02-08,LLOY,0.512,0.512
2026-02-10,LLOY,0.511,0.511
2026-02-12,LLOY,0.483,0.483
2026-02-26,LLOY,0.496,0.496
2026-03-06,LLOY,0.917,0.917
2026-03-26,LLOY,1.018,1.018
2026-04-01,LLOY,1.096,1.096
2026-04-02,LLOY,1.321,1.321
2026-04-09,LLOY,1.302,1.302
2026-04-13,LLOY,1.271,1.271
2026-04-14,LLOY,1.163,1.163
2026-04-15,LLOY,1.169,1.169
2026-04-16,LLOY,1.12,1.12
2026-04-22,LLOY,1.256,1.256
2026-04-27,LLOY,1.311,1.311
2026-04-29,LLOY,1.646,1.646
2026-04-30,LLOY,1.998,1.998
2026-05-01,LLOY,2.912,2.912
2026-05-06,LLOY,2.503,2.503
2026-05-12,LLOY,2.07,2.07
2026-05-21,LLOY,2.074,2.074
2026-05-26,LLOY,1.445,1.445
2026-06-15,LLOY,0.707,0.707
2026-06-24,LLOY,0.781,0.781
2026-06-30,LLOY,0.807,0.807
2026-07-01,LLOY,0.767,0.767
2026-07-02,LLOY,0.791,0.791
2026-07-09,LLOY,0.835,0.835
2026-07-13,LLOY,0.768,0.768
2026-07-14,LLOY,0.788,0.788
2026-07-15,LLOY,0.753,0.753
2026-07-17,LLOY,0.669,0.669
2026-07-20,LLOY,0.721,0.721
2026-07-30,LLOY,1.028,1.028
2026-07-31,LLOY,0.91,0.91
2026-08-03,LLOY,0.932,0.932
2026-08-04,LLOY,1.068,1.068
2026-08-05,LLOY,0.383,0.383
2026-08-10,LLOY,0.41,0.41
2026-08-11,LLOY,0.482,0.482
