Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
Logistic Regression,30-day,LLOY,166,0.7289156626506024,0.6099105812220567,0.7333333333333333,0.9918032786885246,0.8432055749128919,0.7349397590361446
Logistic Regression,30-day,RR,165,0.5515151515151515,0.5037335722819595,0.558282208588957,0.978494623655914,0.7109375,0.5636363636363636
Logistic Regression,30-day,SBRY,166,0.3674698795180723,0.4471581486506859,0.38125,0.9104477611940298,0.5374449339207048,0.4036144578313253
Random Forest,30-day,ASC,166,0.4457831325301205,0.43827520793812924,0.4835164835164835,0.4943820224719101,0.4888888888888889,0.536144578313253
Random Forest,30-day,CPI,166,0.6746987951807228,0.6444783937145351,0.6513761467889908,0.8160919540229885,0.7244897959183674,0.5240963855421686
Random Forest,30-day,CRST,166,0.3855421686746988,0.3747673697270471,0.34375,0.7096774193548387,0.4631578947368421,0.37349397590361444
Random Forest,30-day,LLOY,166,0.6927710843373494,0.6841467958271237,0.7709923664122137,0.8278688524590164,0.7984189723320159,0.7349397590361446
Random Forest,30-day,RR,165,0.46060606060606063,0.42891278375149344,0.5188679245283019,0.5913978494623656,0.5527638190954773,0.5636363636363636
Random Forest,30-day,SBRY,166,0.463855421686747,0.4998492386552088,0.4112903225806452,0.7611940298507462,0.5340314136125655,0.4036144578313253
SVM,30-day,ASC,166,0.3855421686746988,0.32657230410039406,0.4155844155844156,0.3595505617977528,0.3855421686746988,0.536144578313253
SVM,30-day,CPI,166,0.5180722891566265,0.45766041030117854,0.5241379310344828,0.8735632183908046,0.6551724137931034,0.5240963855421686
SVM,30-day,CRST,166,0.30120481927710846,0.26519851116625315,0.30714285714285716,0.6935483870967742,0.42574257425742573,0.37349397590361444
SVM,30-day,LLOY,166,0.7108433734939759,0.6354321907600595,0.7283950617283951,0.9672131147540983,0.8309859154929577,0.7349397590361446
SVM,30-day,RR,165,0.5575757575757576,0.3213859020310633,0.5625,0.967741935483871,0.7114624505928854,0.5636363636363636
SVM,30-day,SBRY,166,0.39759036144578314,0.4072063922810191,0.39072847682119205,0.8805970149253731,0.5412844036697247,0.4036144578313253
