Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual,Feature_Set
Logistic Regression,7-day,ASC,170,0.5411764705882353,0.3920326576576576,0.5576923076923077,0.90625,0.6904761904761905,0.5647058823529412,With Behavioral
Logistic Regression,7-day,CPI,170,0.5411764705882353,0.555463232239302,0.5170068027210885,0.9156626506024096,0.6608695652173913,0.488235294117647,With Behavioral
Logistic Regression,7-day,CRST,171,0.4912280701754385,0.4383899233296824,0.4857142857142857,0.8192771084337349,0.6098654708520179,0.4853801169590643,With Behavioral
Logistic Regression,7-day,LLOY,171,0.5847953216374269,0.4522488317757009,0.6168831168831169,0.8878504672897196,0.7279693486590039,0.6257309941520468,With Behavioral
Logistic Regression,7-day,RR,170,0.5647058823529412,0.5071845212690284,0.5874125874125874,0.8484848484848485,0.6942148760330579,0.5823529411764706,With Behavioral
Logistic Regression,7-day,SBRY,171,0.5789473684210527,0.5428571428571428,0.5620915032679739,0.945054945054945,0.7049180327868853,0.5321637426900585,With Behavioral
Random Forest,7-day,ASC,170,0.4705882352941176,0.4424268018018018,0.5319148936170213,0.5208333333333334,0.5263157894736842,0.5647058823529412,With Behavioral
Random Forest,7-day,CPI,170,0.5470588235294118,0.5610026312145132,0.532608695652174,0.5903614457831325,0.56,0.488235294117647,With Behavioral
Random Forest,7-day,CRST,171,0.5497076023391813,0.5183461117196058,0.5319148936170213,0.6024096385542169,0.5649717514124294,0.4853801169590643,With Behavioral
Random Forest,7-day,LLOY,171,0.5614035087719298,0.5508907710280373,0.6333333333333333,0.7102803738317757,0.6696035242290749,0.6257309941520468,With Behavioral
Random Forest,7-day,RR,170,0.5411764705882353,0.4938824868402334,0.5882352941176471,0.7070707070707071,0.6422018348623854,0.5823529411764706,With Behavioral
Random Forest,7-day,SBRY,171,0.5906432748538012,0.6353708791208792,0.6235294117647059,0.5824175824175825,0.6022727272727273,0.5321637426900585,With Behavioral
SVM,7-day,ASC,170,0.3764705882352941,0.357545045045045,0.4390243902439024,0.375,0.4044943820224719,0.5647058823529412,With Behavioral
SVM,7-day,CPI,170,0.5411764705882353,0.5931311452707381,0.5221238938053098,0.7108433734939759,0.6020408163265306,0.488235294117647,With Behavioral
SVM,7-day,CRST,171,0.5087719298245614,0.4993838992332968,0.4954954954954955,0.6626506024096386,0.5670103092783505,0.4853801169590643,With Behavioral
SVM,7-day,LLOY,171,0.6198830409356725,0.4896320093457943,0.6346153846153846,0.9252336448598132,0.752851711026616,0.6257309941520468,With Behavioral
SVM,7-day,RR,170,0.5176470588235295,0.4377578602930715,0.5639097744360902,0.7575757575757576,0.646551724137931,0.5823529411764706,With Behavioral
SVM,7-day,SBRY,171,0.5497076023391813,0.5531593406593407,0.553030303030303,0.8021978021978022,0.6547085201793722,0.5321637426900585,With Behavioral
LSTM,30-day,ASC,166,0.5240963855421686,0.2798774259448417,0.5304878048780488,0.9775280898876404,0.6877470355731226,0.536144578313253,With Behavioral
LSTM,30-day,CPI,166,0.5240963855421686,0.3681070856976575,0.5240963855421686,1.0,0.6877470355731226,0.5240963855421686,With Behavioral
LSTM,30-day,CRST,166,0.3734939759036144,0.4584367245657568,0.3734939759036144,1.0,0.543859649122807,0.3734939759036144,With Behavioral
